ORD; AÑO ; MES ; DÍA ; DIA DE LA SEMANA ;HORA; ETAPA DEL DÍA ; ZONA ; BLOQUE ; CAMPO ; LOCACIÓN ; INSTALACIÓN O ÁREA ; LON ; LAT ; FUENTES GENERADORAS DE RIESGO ; TIPO ;CONSECUENCIA;OBJETOS;CANTIDAD;UNIDAD;MONTO;SEVERIDAD / IMPACTO;"DEPARTAMENTO
CUSTODIO DEL BIEN";NÚMERO DE INFORME DE VERIFICACIÓN;INFORME DEL ÁREA USUARIA?;NUMERO DE DENUNCIA O ACTO URGENTE;ESTADO DEL PROCESO;PROCESADOS;;LOCACIÓN TIENE SERVICIO DE VIGILANCIA FIJA?;LOCACIÓN TIENE CÁMARA DE VIDEO SEGURIDAD?;LOCACIÓN TIENE CERRAMIENTO?;LOCACIÓN TIENE ILUMINACIÓN?;LA CONTRATISTA REPONE EL VALOR DE LA PÉRDIDA?;SEGURO DE PETROAMAZONAS REPONE EL VALOR DE LA PÉRDIDA?;EXISTIÓ RECOMENDACIÓN DE SEGURIDAD QUE PUDO EVITAR EL EVENTO?;RECOMENDACIONES PARA DISMINUIR EL RIESGO DE REPETICIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;AÑO;MES;DIA;DIA DE LA SEMANA;HORA;ETAPA;ZONA;BLOQUE;Campo;LOCACIÓN;FUENTE;TIPO;CONSECUENCIA;;UNIDAD;SEVERIDAD;DEPARTAMENTO;INFORME DE ÁREA USUARIA;ESTADO DEL PROCESO;;SENTENCIADOS;;;;;;;;;;;;;;;;;;;;
1;2021;ENE;8;VIERNES;3:00 AM;MADRUGADA;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 92;PLATAFORMA; 317.036,00 ; 9.974.666,32 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;45;METROS (M.); $1.107,00 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-001-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; AGRESIÓN ;AFECTACIÓN A LA IMAGEN;2018;ENE;1;LUNES;0:00;MAÑANA;UIO;B01 - PAC;AGUARICO;B12 - EDY - BODEGA DE TUBERÍA MTL;DELINCUENCIA COMUN; AGRESIÓN ;AFECTACIÓN A LA IMAGEN;ACTIVOS VARIOS;CENTIMETROS (CM.);NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;ADMINISTRACIÓN (ADM);SI;ABIERTO;;SI;NOMBRES;SI;SI;SI;SI;SI;;;;;;;;;;;;;;
2;2021;ENE;17;DOMINGO;10:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 97;PLATAFORMA; 315.223,46 ; 9.977.231,44 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;3,25;PIES (FT.); $3.440,45 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-002-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; AMENAZA ;AFECTACIÓN A LA OPERACIÓN;2019;FEB;2;MARTES;1:00;TARDE;ZOCE;B06 - AMD;ATACAPI;B12 - EDY - CENTRO GESTION DE DESECHOS;DELINCUENCIA ORGANIZADA; AMENAZA ;AFECTACIÓN A LA OPERACIÓN;AFETACIÓN AMBIENTAL;EA;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;CONTROL DE ACTIVOS (CAF);NO;CERRADO;;NO;;NO;NO;NO;NO;NO;;;;;;;;;;;;;;
3;2021;ENE;19;MARTES;10:00 PM;NOCHE;ZOCE;B57 - SHS;CENTRO;B57 - SHS - SHS 42;PLATAFORMA; 316.684,34 ; 9.973.715,65 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;138;PIES (FT.); $2.784,84 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-003-B57 SHS;SI;;ABIERTO;;NO;NO;NO;SI;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; ASALTO ;AFECTACIÓN A PERSONAS;2020;MAR;3;MIERCOLES;2:00;NOCHE;ZONL;B07 - PAY;AUCA;B12 - EDY - DESTACAMENTO MILITAR;EVENTO SOCIAL; APAGADO FORSOZO ;AFECTACIÓN A PERSONAS;BOMBAS;GALONES (GLS.);IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;CONTROL DE CALIDAD (QA/QC);N/A;NO APLICA;;N/A;;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;
4;2021;ENE;24;DOMINGO;1:00 AM;MADRUGADA;ZOCE;B57 - SHS;SUR;B57 - SHS - WELL PAD SHSP-293;PLATAFORMA; 313.578,45 ; 9.968.962,38 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;138;PIES (FT.); $1.842,98 ;IMPIDE PARCIALMENTE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-004-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; ATENTADO ;AFECTACIÓN AL MEDIO AMBIENTE;2021;ABR;4;JUEVES;3:00;MADRUGADA;ZOO;B12 - EDY;CENTRO;B12 - EDY - DUMBIQUE NORTE;; ASALTO ;AFECTACIÓN AL MEDIO AMBIENTE;BOMBAS DE QUÍMICOS;GRAMOS (G.);;FINANZAS (FIN);;;;;;;;;;;;;;;;;;;;;;;;
5;2021;FEB;13;VIERNES;10:00 PM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 95;PLATAFORMA; 315.223,46 ; 9.977.231,44 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;14;METROS (M.); $1.015,68 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-005-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; DISTURBIO / MANIFESTACIONES ;AFECTACIÓN DE ACTIVOS;2022;MAY;5;VIERNES;4:00;;;B12 - PCC;CHONTA;B12 - EDY - EPF;; ATENTADO ;AFECTACIÓN DE ACTIVOS;CABLES;KILOGRAMOS (KG.);;GERENCIA DE PROYECTOS (GDP);;;;;;;;;;;;;;;;;;;;;;;;
6;2021;FEB;14;DOMINGO;10:00 PM;NOCHE;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - WELL PAD AGRA 03D;PLATAFORMA; 315.223,46 ; 9.977.231,44 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;15;METROS (M.); $1.104,00 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-006-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; DAÑO OPERATIVO ;PÉRDIDA ECONÓMICA;2023;JUN;6;SABADO;5:00;;;B15 - CPF;COCA;B12 - EDY - MLV-1 SAN ROQUE SUR;; CIERRE DE VÍAS ;PÉRDIDA ECONÓMICA;CRUDO;METROS (M.);;LEVANTAMIENTO ARTIFICIAL ;;;;;;;;;;;;;;;;;;;;;;;;
7;2021;FEB;20;SABADO;12:00 AM;NOCHE;ZOCE;B57 - SHS;SUR;B57 - SHS - SHS 95;PLATAFORMA; 315.223,46 ; 9.977.231,44 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;80;METROS (M.); $1.722,00 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-007-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción. ";;;;;;;;;;;;;;;;;;;;;;;;; EXTORSIÓN ;CONTINUIDAD DE LA OPERACIÓN;2024;JUL;7;DOMINGO;6:00;;;B18 - PAA;CONONACO;B12 - EDY - MLV-2 SAN ROQUE NORTE;; DAÑO A LA PROPIEDAD ;CONTINUIDAD DE LA OPERACIÓN;EQUIPOS DE TECNOLOGÍA;PAQUETES (PQ.);;MANTENIMIENTO (MNT);;;;;;;;;;;;;;;;;;;;;;;;
8;2021;FEB;20;SABADO;5:00 AM;MADRUGADA;ZOCE;B57 - SHS;AGUARICO;B57 - SHS - AGU 01;PLATAFORMA; 315.223,46 ; 9.977.231,44 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;TUBERÍA;100;METROS (M.); $4.186,08 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-008-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; FUGA DE INFORMACIÓN ;MUERTE;2025;AGO;8;;7:00;;;B21 - YUR;CULEBRA;B12 - EDY - PAD-A;; DAÑO OPERATIVO ;MUERTE;HERRAMIENTAS;PIES (FT.);;MATERIALES (MTL);;;;;;;;;;;;;;;;;;;;;;;;
9;2021;FEB;24;SABADO;;MADRUGADA;ZOCE;B57 - SHS;NORTE;B57 - SHS-204;PLATAFORMA; 315619.092   ; 9.983.321,26 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;CABLES;21;METROS (M.); $4.972,95 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-009-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;"Que OPR coordine con MNT la instalación de luminarias en todo el cerco perimetral de la estación.
Desbroce de maleza.
Encamizar los cables eléctricos para evitar la sustracción.";;;;;;;;;;;;;;;;;;;;;;;;; HURTO ;;2026;SEP;9;;8:00;;;B31 - APK;CUYABENO;B12 - EDY - PAD-B;; DISTURBIO / MANIFESTACIONES ;;INCUMPLIMIENTOS Y PEDIDOS;;;OPERACIONES (OPR);;;;;;;;;;;;;;;;;;;;;;;;
10;2021;MAR;10;MIERCOLES;7:00 AM;MAÑANA;ZOCE;B57 - SHS;NORTE;B57 - SHS - WELL PAD SHSS 52;PLATAFORMA; 318.185,58 ; 9.988.166,48 ; DELINCUENCIA COMUN ; ROBO ;PÉRDIDA ECONÓMICA;TUBERÍA;36;METROS (M.); $915,00 ;NO IMPIDE EL CUMPLIMIENTO DE LA ACTIVIDAD;OPERACIONES (OPR);SEGF-IV-2021-010-B57 SHS;SI;;ABIERTO;;NO;NO;NO;NO;NO;NO;SI;SI;Que OPR realice el desbroce de maleza en el DDV.;;;;;;;;;;;;;;;;;;;;;;;;; ROBO ;;2027;OCT;10;;9:00;;;B43 - ITT;DRAGO;B12 - EDY - PAD-C;; EXTORSIÓN ;;INFORMACIÓN;;;RELACIONES COMUNITARIAS (RSRC);;;;;;;;;;;;;;;;;;;;;;;;
