name;id;name_type;class;mass;fall;year;lat;long;geolocation
Aachen;1;Valid;L5;21;Fell;1880;50.775;608.333;(50.775, 6.08333)
Aarhus;2;Valid;H6;720;Fell;1951;5.618.333;1.023.333;(56.18333, 10.23333)
Abee;6;Valid;EH4;107000;Fell;1952;5.421.667;-113;(54.21667, -113.0)
Acapulco;10;Valid;Acapulcoite;1914;Fell;1976;1.688.333;-99.9;(16.88333, -99.9)
Achiras;370;Valid;L6;780;Fell;1902;-3.316.667;-64.95;(-33.16667, -64.95)
Adhi Kot;379;Valid;EH4;4239;Fell;1919;32.1;71.8;(32.1, 71.8)
Adzhi-Bogdo (stone);390;Valid;LL3-6;910;Fell;1949;4.483.333;9.516.667;(44.83333, 95.16667)
Agen;392;Valid;H5;30000;Fell;1814;4.421.667;0.61667;(44.21667, 0.61667)
Aguada;398;Valid;L6;1620;Fell;1930;-31.6;-6.523.333;(-31.6, -65.23333)
Aguila Blanca;417;Valid;L;1440;Fell;1920;-3.086.667;-64.55;(-30.86667, -64.55)
Aioun el Atrouss;423;Valid;Diogenite-pm;1000;Fell;1974;1.639.806;-957.028;(16.39806, -9.57028)
Aãr;424;Valid;L6;24000;Fell;1925;1.908.333;838.333;(19.08333, 8.38333)
Aire-sur-la-Lys;425;Valid;Unknown;NA;Fell;1769;5.066.667;233.333;(50.66667, 2.33333)
Akaba;426;Valid;L6;779;Fell;1949;2.951.667;35.05;(29.51667, 35.05)
Akbarpur;427;Valid;H4;1800;Fell;1838;2.971.667;77.95;(29.71667, 77.95)
Akwanga;432;Valid;H;3000;Fell;1959;891.667;843.333;(8.91667, 8.43333)
Akyumak;433;Valid;Iron, IVA;50000;Fell;1981;3.991.667;4.281.667;(39.91667, 42.81667)
Al Rais;446;Valid;CR2-an;160;Fell;1957;2.441.667;3.951.667;(24.41667, 39.51667)
Al Zarnkh;447;Valid;LL5;700;Fell;2001;1.366.033;28.96;(13.66033, 28.96)
Alais;448;Valid;CI1;6000;Fell;1806;4.411.667;408.333;(44.11667, 4.08333)
Albareto;453;Valid;L/LL4;2000;Fell;1766;44.65;1.101.667;(44.65, 11.01667)
Alberta;454;Valid;L;625;Fell;1949;2;2.266.667;(2.0, 22.66667)
Alby sur ChÇran;458;Valid;Eucrite-mmict;252;Fell;2002;4.582.133;601.533;(45.82133, 6.01533)
Aldsworth;461;Valid;LL5;700;Fell;1835;5.178.333;-178.333;(51.78333, -1.78333)
Aleppo;462;Valid;L6;3200;Fell;1873;3.623.333;3.713.333;(36.23333, 37.13333)
Alessandria;463;Valid;H5;908;Fell;1860;4.488.333;8.75;(44.88333, 8.75)
Alexandrovsky;465;Valid;H4;9251;Fell;1900;50.95;3.181.667;(50.95, 31.81667)
Alfianello;466;Valid;L6;228000;Fell;1883;4.526.667;10.15;(45.26667, 10.15)
